type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
neighborhood,Bothell,Queensgate,48,441458,0.005550604,0.5,6,19,87,0.241071429,-0.494736842,-0.015237938,-0.002963971,-0.142105263,4,-0.095238095,-0.033333333,0.106150794
neighborhood,Bothell,Shelton View,42,362285,-0.000377838,0.428571429,26,13,61,0.092105263,-0.447368421,0.059914103,-0.010868315,-0.229323308,-22,-0.277777778,-0.344086022,0.017338908
neighborhood,Bothell,Thrasher's Corner,22,431397,-0.003134057,0.136363636,7,8,40,0.127659574,-0.083333333,-0.047162893,-0.016700483,-0.738636364,-3,0.6,1.222222222,-0.039007092
neighborhood,Bothell,Westhill,70,452098,0.014839511,0.657142857,7,26,112,0.136363636,0.296296296,-0.099077951,0.012605375,0.231216931,17,0.238095238,0.4,-0.082386364
neighborhood,Brier,Brier,130,413257,-0.001553952,0.353846154,8,63,222,0.193633952,-0.392523364,0.176241045,-0.003385623,-0.160172538,1,0.211538462,0.052132701,0.03234363
neighborhood,Burien,Chelsea Park,38,233348,0.003002279,0.394736842,19,12,44,0.260869565,0.583333333,-0.082232081,-0.014826362,-0.063596491,-10,0.090909091,0.62962963,0.084398977
neighborhood,Burien,Downtown,9,249950,0,0.333333333,8,7,20,0.564102564,-0.307692308,-0.051282733,5.36E-05,-0.128205128,19,0,-0.2,0.247029393
neighborhood,Burien,Evansville,147,228549,-0.000279143,0.401360544,16,53,196,0.266666667,0.035211268,0.028018172,-0.000300946,-0.049343681,2,-0.018518519,0.082872928,0.062332301
neighborhood,Burien,Five Corners,20,322500,-0.017341889,0.15,75,8,28,0.288888889,0.25,-0.091549296,-0.015334792,-0.1,-52,-0.2,-0.282051282,0.238041431
neighborhood,Burien,Gregory Heights,133,390185,-0.004382769,0.195488722,31,52,146,0.317152104,0.023076923,0.090337761,0.000352015,-0.104511278,-12,-0.103448276,-0.330275229,0.082369495
neighborhood,Burien,Lake Burien,28,254607,-0.014234635,0.214285714,39,9,33,0.160714286,-0.348837209,-0.095977815,0.001774728,-0.111295681,-29,-0.4,-0.25,-0.117063492
neighborhood,Burien,Old Burien,47,250386,-0.005413968,0.255319149,29,15,56,0.177777778,-0.096153846,0.011309202,0.009109518,-0.129296236,-17,-0.25,-0.151515152,-0.155555556
neighborhood,Burien,Salmon Creek,30,510533,-0.022825504,0.2,19,13,53,0.126582278,-0.589041096,0.263955219,-0.021725532,-0.142465753,-2,-0.1875,0.019230769,-0.142234926
neighborhood,Burien,Seola Beach,21,509285,-0.027163115,0.19047619,49,9,36,0.159090909,-0.416666667,0.283777993,-0.018235652,-0.226190476,-17,-0.307692308,-0.307692308,-0.000909091
neighborhood,Burien,Sunnydale,9,250000,0,0,79,8,23,0.355555556,0,-0.045801527,0,0,-52,0,-0.361111111,0.192290249
neighborhood,Burien,Three Tree Point,53,493389,-0.035522746,0.188679245,42,27,70,0.3125,0.23255814,0.001449231,-0.024645513,-0.067134708,-11,0.08,-0.285714286,0.040391156
neighborhood,Des Moines,Central Des Moines,147,245030,0,0.217687075,20,77,249,0.191721133,-0.145348837,-0.017459019,-0.003852565,-0.200917576,-9,-0.06097561,-0.087912088,0.014891865
neighborhood,Des Moines,Downtown,43,311972,-0.017572136,0.162790698,10,27,116,0.086956522,-0.203703704,0.083093203,-0.013103168,-0.152024117,-3,0.08,0.348837209,-0.073043478
neighborhood,Des Moines,North Hill,106,328262,0.001809086,0.433962264,49,41,125,0.234567901,0.115789474,0.478537776,-0.000509119,0.033962264,-37,0.28125,0.25,0.079127487
neighborhood,Des Moines,Pacific Ridge,38,256784,0,0,33,10,29,0.229508197,0.52,0.087422715,-0.038739364,-0.52,11,-0.473684211,-0.524590164,-0.000580299
neighborhood,Des Moines,South Des Moines,128,265076,-0.010325726,0.1640625,25,55,185,0.238670695,-0.085714286,0.216385754,-0.011263512,-0.178794643,1,-0.098360656,-0.110576923,0.101308058
neighborhood,Des Moines,Woodmont,126,269583,-0.000491893,0.214285714,32,62,210,0.233062331,-0.1,0.174858363,4.03E-05,-0.25,-5,0.068965517,0.228070175,0.073642041
neighborhood,Des Moines,Woodmont Beach,137,270439,-0.009830532,0.197080292,35,63,199,0.226912929,0.007352941,0.20273155,-0.009830532,-0.19262559,-8,0.285714286,0.251572327,0.084055786
neighborhood,Des Moines,Woodmont West,57,368520,-0.005797795,0.280701754,74,32,91,0.219895288,-0.109375,0.319375327,0.004339805,-0.094298246,-45,0.032258065,-0.125,0.055001671
